Lexicon,Accuracy
မွတ်ကုလား,0.7407407
မြို့သား,0.034188
မြေသြဇာ,0.1290323
မွတ်,0.5724907
မွတ်ကုလားတွေ,1
မွတ်ဒေါင်း,0.6451613
မွတ်ဒေါင်းခွေ,1
မွတ်ပါတီ,0.5714286
ရခိုင်အကြမ်းဖက်သမား,1
ရခိး,0.5714286
ရခိုင်တပ်တော်AA,1
ရခိုင်နဲ့မပွေး,1
ရခိုင်သူပုန်aaအကြမ်းဖက်,1
ရခိုင်အစွန်းရောက်,1
ရခိုင်ကုလားတွေ,0.6666667
ရခီးတွေ,0.53125
ရွာသား,0.2007435
လီးကြံ့ဖွတ်,1
လီးဆူး,0
လူရိုင်း,0.25
လူသားစိတ္ကင္းမဲ့,0
ဝူဟန်,0.0282486
ဝူဟန်တရုတ်,0.3333333
သတ်မတော်,1
သုတ်ကြောင်မ,0
သူခိုး,0.1311111
သူပုန်,0.2007168
သူပုန်မ,0.25
သူပုန်လော်ဘီ,0.4285714
သောင်းကျမ်းသူ,0.3529412
အကြမ်းဖက်,0.3180952
အကြမ်းဖက်ကုလားတွေ,1
အစိမ်းရောင်ခွေး,1
အစွန်းရောက်,0.2618026
အစွန်းရောက်ရခိုင်,1
အဆိပ်သားတွေ,0.5
အနီကြောင်,1
အပြုတ်တိုက်,0.2131148
အဖျက်သမားaa,1
အဘAA,0
အမျိုးယုတ်,0.3977901
အမျိုးယုတ်ရှမ်း,1
အမြစ်ပြတ်ရှင်း,1
အာနာရူးတွေ,0.2222222
အိမ်စောင့်ခွေး,1
အောက်တန်းကျ,0.1343874
အောက်တန်းစား,0.2469636
ခွေး,0.1611111
str_၇၈၆,0
AAသူပုန်,0.4352941
Thaiပြန်,0
gwi,0
ကမ္ဘာ့ကပ်ရောဂါကြီး,0.5
ကုလားပြည်နယ်,1
ကုလားတွေ,0.6492537
ကျောင်းနွား,0.5555556
ကြံ့ဖွတ်,0.3242259
ကြံ့ဖွတ်သခိုး,0.25
ကြံ့ဖွတ်သူခိုးကောင်,1
ကြံ့ဖွတ်ပါတီ,0.0882353
ခိုးဝင်,0.4887218
ခွေးတပ်မတော်,1
ခွေးတရုတ်,0.375
ခွေးသား,0.1127451
ခွေးသူတောင်းစားခွေး,0.1
ခွေးသူတောင်းစားမီဒီညာ,0.5
ခွေးဦးနှောက်,0.375
ခွေးဝဲစား,0.1478873
ခွေးသတ်မတော်,1
ငပွေး,0
ငလူး,0.0492958
ငလူးပဲ,0
ငှက်နီ,0.5
စစ်သူခိုးကြံ့ဖွတ်,1
စစ်အာဏာရှင်,0.1439394
စစ်ခွေး,0.3583441
စစ်ဦးဘီလူး,1
စောက်တရုတ်,0.2647059
စောက်သုံးမကျအစိုးရ,1
စောင်ကုလား,1
တရုပ်စုပ်,1
တရုတ်ခွေး,0.375
တောသား,0.0850515
ထန်းတောသားတွေ,0
ထမိန်ခြုံနဲ့ဘောမ,0
ထမီခြုံ,0.3333333
ထောင်ထွက်,0.1794872
ဒီမိုခွေးတွေ,1
ဒေါ်လာစား,0.6521739
နပီဗမာစစ်ခွေးတပ်,1
နီပိန်း,0.3529412
နီပေါ,0.2893401
နွားကျောင်းသား,0.1111111
ပလောင်တွေ,0
ပြည်ခိုင်ဖြိုးသူခိုး,0
ပြည်ထိုင်ခိုး,1
ဖင်ကုံး,1
ဖင်ယား,0.1025641
ဖာသေမစု,1
ဖွတ်သူခိုး,0.2222222
ဖွတ်,0.2546089
ဖွတ်ပါတီ,0.2173913
ဗမာတွေ,0.3846154
ဗမာစစ်အာဏာရှင်အုပ်စု,1
ဗမာသောင်းကြမ်းသူအဖွဲ့,1
ဗမာအစိုးရစစ်တပ်,1
ဗမာအစောရနှင့်ဗမာစစ်တပ်,1
ဗမာစစ်တပ်,0.504
ဗမာအကြမ်းဖက်,1
ဗလီတွေ,0.4545455
ဘင်ဂါလီ,0.5760369
ဘိန်းစား,0.1568627
မအေလိုးကြံ့ဖွတ်,0.5
မာဖီးယားအကြမ်းဖက်စစ်တပ်ထွက်,1
မာမွတ်စူလတန်,1
မုဒိန်းစစ်တပ်,1
မူစလင်ကုလား,1
မူဆလင်,0.4782609
မူဆလင်ကုလားတွေ,0.5
မျိုးဖြုတ်,0.5
တစ်မတ်သား,0.25
အရိုးကိုက်ဖွတ်ခွေး,0
ခွေးသူတောင်းစားမီဒီယာ,0
